Unnamed: 0,Entity,Code,Year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
1332,Bahrain,BHR,1950,1905.9999,71.0,47.0,63.0,75.0,82.0,71.0,69.00001,64.0,61.0,65.0,66.0,74.0,76.0,77.0,67.0,37.0,14.0,3.0,0.0,0.0
1333,Bahrain,BHR,1951,1908.0,74.0,48.0,62.0,74.0,84.00001,72.0,70.0,66.0,65.0,65.0,66.0,74.0,80.00001,77.0,68.0,39.0,15.000001,2.0,0.0,0.0
1334,Bahrain,BHR,1952,1920.0,79.0,48.0,62.0,73.0,83.00001,75.0,70.0,67.0,65.0,65.0,70.0,74.0,80.00001,78.0,68.0,42.999996,17.0,3.0,0.0,0.0
1335,Bahrain,BHR,1953,1921.0001,80.0,48.0,61.0,73.0,80.00001,78.0,71.0,68.0,65.0,66.0,70.0,74.0,80.00001,79.0,70.0,46.0,17.0,4.0,0.0,0.0
1336,Bahrain,BHR,1954,1913.0,81.0,48.0,60.000004,72.0,80.00001,79.0,72.0,69.00001,65.0,68.0,71.0,76.0,80.00001,80.00001,70.0,48.0,18.000002,5.0000005,0.0,0.0
1337,Bahrain,BHR,1955,1887.0,79.0,48.0,60.000004,71.0,80.00001,80.00001,74.0,70.0,66.0,70.0,72.0,76.0,80.00001,80.00001,72.00001,49.0,20.0,5.0000005,0.0,0.0
1338,Bahrain,BHR,1956,1838.0,79.0,46.0,59.0,69.0,74.99999,79.0,74.0,70.0,70.0,70.0,73.0,76.0,82.0,80.00001,73.0,50.0,20.0,5.0000005,0.0,0.0
1339,Bahrain,BHR,1957,1776.0,77.99999,46.0,59.0,67.0,74.99999,77.0,76.00001,70.0,70.0,70.0,73.0,79.0,82.0,82.0,73.0,50.0,22.0,6.0,0.0,0.0
1340,Bahrain,BHR,1958,1710.0,77.0,43.0,58.0,65.0,70.0,74.0,76.00001,70.0,70.0,70.0,74.0,80.00001,81.0,83.00001,76.00001,52.0,25.0,6.0,0.0,0.0
1341,Bahrain,BHR,1959,1638.0,73.0,41.0,57.0,63.0,70.0,72.0,77.0,70.0,70.0,70.0,74.0,81.0,82.0,85.00001,76.00001,53.0,25.0,7.0,0.0,0.0
1342,Bahrain,BHR,1960,1561.0,72.0,38.0,53.999996,62.0,65.0,67.0,74.99999,67.0,70.0,70.0,74.99999,82.0,84.00001,85.00001,76.00001,54.0,25.0,7.0,0.0,0.0
1343,Bahrain,BHR,1961,1482.0,70.0,36.0,53.999996,58.0,62.0,63.0,73.0,68.0,69.00001,70.0,76.0,82.0,85.00001,85.00001,78.0,58.0,25.0,8.0,0.0,0.0
1344,Bahrain,BHR,1962,1398.9999,69.0,33.0,51.0,57.0,60.000004,61.0,68.0,68.0,68.0,71.0,76.0,83.00001,86.0,85.00001,80.0,59.0,27.0,8.0,0.0,0.0
1345,Bahrain,BHR,1963,1314.0,65.0,32.0,48.0,53.999996,55.0,57.0,65.0,68.0,67.0,71.0,77.0,83.00001,89.0,86.0,81.0,59.0,28.0,9.000001,0.0,0.0
1346,Bahrain,BHR,1964,1231.0001,62.0,31.0,46.0,51.0,51.0,53.0,60.000004,65.0,66.0,72.0,77.0,83.00001,89.99999,89.99999,83.00001,60.000004,29.000002,9.000001,1.0,0.0
1347,Bahrain,BHR,1965,1144.0,60.0,29.0,41.0,49.999996,48.0,49.999996,57.0,64.0,65.0,72.0,77.0,84.00001,91.0,91.0,84.0,60.000004,30.000002,9.000001,1.0,0.0
1348,Bahrain,BHR,1966,1056.0,57.0,26.999998,38.000004,44.999996,44.999996,45.999996,52.0,61.0,65.0,72.0,78.0,85.0,91.99999,92.99999,86.0,62.0,31.0,9.000001,1.0,0.0
1349,Bahrain,BHR,1967,968.0,55.0,26.999998,36.000004,44.0,41.0,42.0,48.0,59.0,65.0,70.0,78.0,86.0,92.99999,95.0,86.0,63.0,31.0,9.000001,1.0,0.0
1350,Bahrain,BHR,1968,881.0,51.0,26.0,34.0,39.0,39.0,38.000004,44.999996,53.999996,65.0,69.0,79.0,87.0,94.0,99.0,88.0,65.0,32.0,9.000001,1.0,0.0
1351,Bahrain,BHR,1969,764.0,48.0,25.0,33.0,38.000004,36.000004,36.000004,42.0,49.999996,62.0,67.0,75.0,84.00001,91.99999,99.0,95.0,72.00001,37.0,12.0,1.0,0.0
1352,Bahrain,BHR,1970,655.99994,43.0,22.0,33.0,35.0,35.0,35.0,40.000004,47.0,58.0,64.0,72.0,80.00001,89.99999,99.99999,102.0,78.0,42.999996,16.0,2.0,0.0
1353,Bahrain,BHR,1971,565.0,38.0,22.0,32.0,35.0,32.0,33.0,38.000004,42.999996,53.999996,63.0,67.0,76.00001,85.0,96.99999,107.99999,86.0,51.0,20.0,5.0000005,0.0
1354,Bahrain,BHR,1972,518.0,35.0,22.0,33.0,35.0,32.0,32.0,37.0,42.999996,52.0,62.0,67.0,75.0,86.0,96.0,109.0,89.0,52.0,20.0,5.0000005,0.0
1355,Bahrain,BHR,1973,482.99997,32.0,22.0,34.0,38.000004,32.0,31.0,36.000004,42.0,51.0,62.0,69.00001,75.0,86.0,96.99999,107.99999,91.0,52.0,20.0,5.0000005,0.0
1356,Bahrain,BHR,1974,454.0,31.0,19.000002,36.000004,40.000004,33.0,30.000002,35.0,42.0,51.0,61.0,70.0,75.0,88.0,98.0,107.0,92.0,51.0,20.0,5.0000005,0.0
1357,Bahrain,BHR,1975,430.0,27.0,19.000002,35.0,42.0,35.0,30.000002,35.0,42.0,51.0,61.0,72.0,75.0,88.0,100.99999,105.0,94.0,52.0,20.0,5.0000005,1.0
1358,Bahrain,BHR,1976,410.00003,26.0,18.0,35.0,44.999996,37.0,32.0,35.0,42.0,52.0,62.0,72.0,76.0,89.0,103.0,105.0,94.0,52.0,20.0,4.0,1.0
1359,Bahrain,BHR,1977,389.0,26.0,17.0,34.0,44.999996,40.0,35.0,35.0,42.0,52.0,62.0,73.0,78.0,88.0,104.0,105.0,94.0,55.0,20.0,5.0000005,1.0
1360,Bahrain,BHR,1978,369.00003,26.0,17.0,33.0,47.0,42.999996,35.0,36.000004,42.999996,53.0,64.0,75.0,80.00001,88.0,107.0,107.99999,94.0,55.0,20.0,5.0000005,1.0
1361,Bahrain,BHR,1979,350.00003,26.0,15.000001,31.0,47.0,44.999996,37.0,37.0,44.0,55.0,66.0,76.00001,82.0,88.0,105.0,110.0,92.99999,59.0,20.0,5.0000005,1.0
1362,Bahrain,BHR,1980,335.0,26.0,14.0,29.000002,46.0,47.0,41.0,40.000004,44.0,56.0,67.0,78.0,84.00001,86.0,105.0,112.0,92.99999,59.0,20.0,5.0000005,1.0
1363,Bahrain,BHR,1981,321.0,25.0,14.0,28.0,44.999996,49.0,44.0,40.000004,47.0,59.0,69.0,79.0,87.0,88.0,103.0,116.0,93.0,58.0,21.0,5.0000005,1.0
1364,Bahrain,BHR,1982,312.0,25.0,14.0,28.0,44.0,49.999996,44.999996,40.000004,47.0,59.0,71.0,82.0,89.99999,91.0,102.0,117.0,95.0,60.0,22.0,5.0000005,1.0
1365,Bahrain,BHR,1983,308.0,25.0,13.0,28.0,44.0,49.999996,45.999996,42.0,47.0,59.0,72.0,84.00001,92.99999,98.0,103.0,117.0,98.0,60.0,22.0,5.0000005,1.0
1366,Bahrain,BHR,1984,308.0,25.0,13.0,28.0,44.0,49.999996,48.0,44.999996,47.0,59.0,73.0,86.0,96.0,103.0,105.0,117.0,102.0,61.0,23.0,5.0000005,1.0
1367,Bahrain,BHR,1985,313.0,25.0,13.0,28.0,44.0,49.999996,49.999996,45.999996,47.0,59.0,75.0,89.0,99.0,107.99999,107.99999,117.0,106.0,62.0,26.0,5.0000005,1.0
1368,Bahrain,BHR,1986,316.0,25.0,13.0,27.0,44.0,49.999996,49.999996,48.0,47.0,59.0,74.0,91.0,100.99999,112.0,113.0,117.0,109.0,65.0,26.0,5.0000005,1.0
1369,Bahrain,BHR,1987,318.00003,24.0,13.0,27.0,44.0,53.0,55.0,49.999996,49.0,60.000004,75.0,92.99999,104.0,115.0,121.0,120.00001,112.0,69.0,27.0,5.0000005,1.0
1370,Bahrain,BHR,1988,319.0,25.0,13.0,26.0,42.999996,53.0,55.0,53.0,49.999996,60.000004,75.0,95.0,107.99999,117.0,128.0,124.0,114.0,72.0,27.0,6.0,1.0
1371,Bahrain,BHR,1989,322.0,27.0,13.0,24.0,42.999996,53.0,60.000004,56.0,55.0,61.0,76.00001,95.0,112.0,118.0,133.0,129.00002,118.0,75.0,28.0,6.0,1.0
1372,Bahrain,BHR,1990,318.0,27.0,13.0,24.0,41.0,53.999996,60.000004,60.000004,56.0,61.0,77.0,96.0,114.0,121.0,140.0,137.00002,120.00001,76.0,29.0,6.0,1.0
1373,Bahrain,BHR,1991,308.0,28.0,13.0,22.0,38.000004,53.999996,64.0,65.0,60.000004,61.0,78.0,94.0,118.0,124.0,143.0,145.0,123.0,76.0,29.0,6.0,1.0
1374,Bahrain,BHR,1992,297.0,28.0,14.0,22.0,36.0,53.0,66.0,69.00001,65.0,65.0,79.0,92.99999,120.00001,129.00002,143.0,153.0,128.0,74.0,26.0,6.0,1.0
1375,Bahrain,BHR,1993,283.99997,28.0,16.0,25.0,35.0,51.0,64.0,70.0,70.0,70.0,80.0,95.0,121.0,137.00002,146.0,162.0,134.0,78.0,28.0,6.0,1.0
1376,Bahrain,BHR,1994,262.0,28.0,16.0,26.0,35.0,49.0,62.0,73.0,74.99999,72.0,78.0,98.0,120.00001,141.0,152.0,169.0,142.0,82.0,28.0,6.0,1.0
1377,Bahrain,BHR,1995,241.00002,25.0,16.0,27.0,36.000004,46.0,60.000004,73.0,78.0,77.0,79.0,99.99999,118.0,145.0,158.0,176.0,148.0,86.0,28.0,6.0,1.0
1378,Bahrain,BHR,1996,222.0,25.0,16.0,27.0,38.000004,46.0,59.0,73.0,82.0,83.00001,81.0,102.0,116.0,147.0,164.99998,181.0,154.0,88.0,28.0,5.0000005,1.0
1379,Bahrain,BHR,1997,206.99998,24.0,16.0,27.0,39.0,44.999996,57.0,73.0,85.0,88.0,84.00001,100.99999,117.0,146.0,171.0,183.0,161.0,91.0,30.000002,5.0000005,1.0
1380,Bahrain,BHR,1998,195.00002,21.0,15.000001,27.0,39.0,44.999996,56.0,72.0,86.0,94.0,85.00001,99.0,115.0,144.0,176.0,185.99998,167.0,95.0,31.0,5.0000005,0.0
1381,Bahrain,BHR,1999,187.0,21.0,14.0,26.0,41.0,45.999996,56.0,71.0,88.0,98.0,91.0,99.0,116.0,137.0,178.0,192.0,173.00002,97.0,35.0,5.0000005,0.0
1382,Bahrain,BHR,2000,175.0,21.0,14.0,26.0,41.0,45.999996,56.0,69.0,89.0,99.99999,92.99999,94.0,116.0,136.0,176.0,195.00002,178.0,102.0,35.0,4.0,0.0
1383,Bahrain,BHR,2001,163.99998,22.0,14.0,26.0,38.000004,47.0,56.0,69.0,90.0,104.0,99.0,94.0,116.0,134.0,174.0,199.0,178.0,105.00001,36.0,5.0,0.0
